date,Avg_Passengers,Avg_Distance,Avg_Fare,Avg_Extra,Avg_MTA_tax,Avg_Tip,Avg_Tolls,Avg_Surcharge,Avg_Total,Avg_Duration,Total_Trips,maximum temperature,minimum temperature,average temperature,precipitation,Rain,Snow_fall,Snow_depth,Day_of_Week,Day_of_Month,Week,Month,Weekday,Has_Snow,Has_Rain
2016-02-14,1.384835861963542,3.1900626743608362,12.743349638858104,0.21508006267436083,0.4954522872320098,2.7668055184010396,0.1232774104788474,0.2971830932090037,16.641148010853364,0.33915703833921435,26167,15,-1,7,0,0,0,0,1,2,7,2,FALSE,FALSE,FALSE
2016-02-15,1.346427833987198,3.228522609952509,12.89087807144332,0.1788664051207929,0.49543155069172,2.8633274829651043,0.1485845550278753,0.29716394796613665,16.87425201321495,0.3248473742170831,19372,35,13,24,1.8399999999999999,0.44,1.4,0,2,2,7,2,TRUE,TRUE,TRUE
2016-02-16,1.32465957329511,3.1946397265560393,13.1983786316776,0.37548927724791886,0.49619604167815207,2.9089370968631125,0.17963448922211808,0.29774243343072937,17.456377970119632,0.32259369008459365,18139,54,35,44.5,1.01,1.01,0,0,3,2,7,2,TRUE,FALSE,TRUE
2016-02-17,1.349478035080282,3.138717079116104,13.045360076307562,0.4124317736208998,0.4963965873562609,2.907772773037995,0.16967887234380796,0.29758200413332625,17.329222086799852,0.31795858136234906,18871,39,35,37,0,0,0,0,4,2,7,2,TRUE,FALSE,FALSE
2016-02-18,1.3523221887406132,3.143664801262735,13.188770268331181,0.42545558903716457,0.4964366001817573,2.8820839910077964,0.16160807385086334,0.297558234084278,17.45191275649304,0.32403425487476284,20907,36,27,31.5,0,0,0,0,5,2,7,2,TRUE,FALSE,FALSE
2016-02-20,1.3829787234042554,3.380636562424074,13.63701016972684,0.24981777793203985,0.49737947311790637,2.893207455485752,0.12450452951997501,0.29816736663080073,17.700086772413314,0.3375875051581379,28810.999999999996,61,39,50,0,0,0,0,7,2,8,2,FALSE,FALSE,FALSE
2016-02-24,1.3342522398345968,2.964012405237767,12.789277739490007,0.4037675166551803,0.49547438548127726,2.8288389616356535,0.15229267172065242,0.29738111647139903,16.96703239145417,0.3248172141817903,21765,60,36,48,1.22,1.22,0,0,4,2,8,2,TRUE,FALSE,TRUE
2016-02-25,1.3488382626024729,3.1101947551972464,13.245167806512976,0.43129217808777576,0.4956519769917116,2.9402572580279904,0.18236514334888357,0.29749988677023415,17.592234249739573,0.3256096793836275,22079,61,37,49,0.02,0.02,0,0,5,2,8,2,TRUE,FALSE,TRUE
2016-02-26,1.3571797828766852,3.138230007555573,13.310567860977452,0.44365133017855013,0.4962420964727403,2.892962182367678,0.15075913627868134,0.2978049071459816,17.591987513421085,0.34986000097206205,25146.999999999996,39,27,33,0,0,0,0,6,2,9,2,TRUE,FALSE,FALSE
2016-02-27,1.3855805892547661,3.27690294627383,13.300431195840554,0.24876949740034665,0.49623916811091856,2.89356568457539,0.13175147313691507,0.2977227036395147,17.36847972270364,0.35185561332563065,28850,41,26,33.5,0,0,0,0,7,2,9,2,FALSE,FALSE,FALSE
2016-02-28,1.3816336145971646,3.463419711311946,13.6048006167816,0.2427292585771191,0.4959737867820277,2.9350293399580245,0.13914121728701762,0.2976228209191759,17.715297040304964,0.3417854780295351,23347.000000000004,60,38,49,0,0,0,0,1,2,9,2,FALSE,FALSE,FALSE
2016-03-05,1.3826883147826678,3.2779059872698184,13.22409850573539,0.2483917083631165,0.49603458252493277,2.850223629122843,0.1325484189386977,0.29767180639232105,17.248968651077302,0.33533463055621743,29379,41,28,34.5,0,0,0,0,7,3,10,3,FALSE,FALSE,FALSE
2016-03-08,1.3256278538812785,3.138473173515982,13.266964041095891,0.4131563926940639,0.4956335616438356,2.9012939497716896,0.15776997716894978,0.2973972602739726,17.5322151826484,0.3266435660832065,17520,67,47,57,0,0,0,0,3,3,10,3,TRUE,FALSE,FALSE
